id,kode,nama_bahan,sumber,air_gram,energi_kal,protein_gram,lemak_gram,karbohidrat_gram,serat_gram,abu_gram,kalsium_mg,fosfor_mg,zatbesi_mg,natrium_mg,kalium_mg,tembaga_mg,seng_mg,retinol_mcg,bkaroten_mcg,karotentotal_mcg,thiamin_mg,riboflavin_mg,niasin_mg,vitc_mg,bdd,jenis_pangan,satuan,gambar
2318,FatSecretIndo,Perdekel Tahu Bawang,FatSecretIndo,0,177,2.4,3.44,1.22,0.1,0,0,0,0,11,40,0,0,0,0,0,0,0,0,0,100,serealia,olahan/produk,https://m.ftscrt.com/static/recipe/06ce6870-d0f4-4185-84c8-c051b48e69fc.jpg
2319,FatSecretIndo,Papaya Yogurt with Almonds,FatSecretIndo,0,879,5.52,3.17,42.68,5.8,0,0,0,0,45,567,0,0,0,0,0,0,0,0,0,100,buah,olahan/produk,https://m.ftscrt.com/static/recipe/c4d6d5a1-748e-410b-be66-108c90421d6d.jpg
2320,FatSecretIndo,Bubur Manis Oat,FatSecretIndo,0,782,3.18,4.34,34.09,5.7,0,0,0,0,166,8,0,0,0,0,0,0,0,0,0,100,serealia,olahan/produk,https://m.ftscrt.com/static/recipe/71d70958-30fd-4f82-8517-b764b62523a6.jpg
2321,FatSecretIndo,Ayam Tempe Penyet,FatSecretIndo,0,1914,47.85,18.36,31.36,6.2,0,0,0,0,1010,1067,0,0,0,0,0,0,0,0,0,100,daging unggas,olahan/produk,https://m.ftscrt.com/static/recipe/cfe1c812-5c58-436f-8927-a6416c60dbc2.jpg
2322,FatSecretIndo,Bakso Lohoa,FatSecretIndo,0,177,3.59,1,4.87,0.5,0,0,0,0,330,74,0,0,0,0,0,0,0,0,0,100,daging unggas,olahan/produk,https://m.ftscrt.com/static/recipe/b480759e-cf19-40e1-9d8c-e80c5538c8ae.jpg
2323,FatSecretIndo,Tongseng Bango dan Fiber Chreme,FatSecretIndo,0,1506,36.39,10.68,34.11,8.9,0,0,0,0,1205,1106,0,0,0,0,0,0,0,0,0,100,sayuran,olahan/produk,https://m.ftscrt.com/static/recipe/f71afba1-d46d-4273-b97b-ae8932e53411.jpg
2324,FatSecretIndo,Green Smoothie,FatSecretIndo,0,611,2.44,0.56,37.33,4.5,0,0,0,0,26,625,0,0,0,0,0,0,0,0,0,100,sayuran,olahan/produk,https://m.ftscrt.com/static/recipe/e12d5b7c-1ebc-4fd8-9c7b-0f4330daa42e.jpg
2325,FatSecretIndo,Snack Oat,FatSecretIndo,0,108,0.73,1.08,3.44,0.5,0,0,0,0,2,24,0,0,0,0,0,0,0,0,0,100,serealia,olahan/produk,https://m.ftscrt.com/static/recipe/fa5ba034-7e24-4f0c-8927-ee5f7fbd6d86.jpg
2326,FatSecretIndo,Salad,FatSecretIndo,0,1987,10.37,26.49,55.72,6.5,0,0,0,0,7305,666,0,0,0,0,0,0,0,0,0,100,sayuran,olahan/produk,https://m.ftscrt.com/static/recipe/64343068-e4a2-4315-abb1-61511a7a3f82.jpg
2327,FatSecretIndo,Bread Puding,FatSecretIndo,0,321,3.77,1.84,10.8,0.7,0,0,0,0,81,98,0,0,0,0,0,0,0,0,0,100,serealia,olahan/produk,https://m.ftscrt.com/static/recipe/f6bdcbdd-edb3-444f-87bb-43890db598b0.jpg
